,querian,puesias,joaquin,guadual,miamias,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.2,0.0,0.0,0.0,0.2
Ceele_5,0.0,0.0,0.4,0.0,0.0,0.4
Ceele_6,0.0,0.2,0.0,0.0,0.0,0.2
Ceele_7,0.0,0.0,0.0,0.0,0.2,0.2
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
cuentos_3,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0.0
Total,0.6666666666666666,0.4,0.4,0.3333333333333333,0.2,2.0
