,aires,aulas,oidos,aaron,autor,autos,ayres,Total
Ceele_1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.15
Ceele_4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
Ceele_6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Ceele_7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15
cuentos_1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05
excale_3,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05
excale_4,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.35,0.3,0.1,0.1,0.05,0.05,0.05,1.0
